StationCode;StationName;Category;Region;DwellTime_IPV;StopFlag_IPV;DwellTime_A;StopFlag_A;DwellTime_B;StopFlag_B;DwellTime_C;StopFlag_C;DwellTime_D;StopFlag_D;BufferTime;TransferTime;Labels;XCoord;YCoord;Create
BEL;Bellinzona;2;Sud;2;1;2;1;2;1;2;1;2;1;;4;;2121.053433;3728.103892;1
BP;Bahnhof;3;Mitte;;0;;0;;0;;0;;0;;;;;;
BPST;Belp Steinbach;4;Mitte;;0;;0;;0;;0;;0;;;;;;
BNK;Benken;5;Ost;;0;;0;;0;;0;;0;;;;;;
BNZ;Benzenschwil;5;Mitte;;0;;0;;0;;0;;0;;;;;;
BERG;Berg;HaV;Ost;;0;;0;;0;;0;;0;;;;;;
BER;Berlingen;HaV;Ost;;0;;0;;0;;0;;0;;;;;;
BN;Bern;1+;Mitte;4;1;4;1;4;1;4;1;4;1;;4;;-1616.653981;1128.642;1
BNAH;Bern Europaplatz;4;Mitte;;0;;0;;0;;0;;0;;;;;;
BNB;Bern Brünnen;4;Mitte;;0;;0;;0;;0;;0;;;;;;
BNBZ;Bern Bümpliz Nord;4;Mitte;;0;;0;;0;;0;;0;;;;;;
BNBS;Bern Bümpliz Süd;4;Mitte;;0;;0;;0;;0;;0;;;;;;
BNST;Bern Stöckacker;4;Mitte;;0;;0;;0;;0;;0;;;;;;
BNWD;Bern Wankdorf;3;Mitte;;0;;0;;0;;0;;0;;5;;;;
BNWE;Bern Weissenbühl;4;Mitte;;0;;0;;0;;0;;0;;;;;;
BET;Bettlach;4;Mitte;;0;;0;;0;;0;;0;;;;;;
BTW;Bettwiesen;HaV;Ost;;0;;0;;0;;0;;0;;;;;;
BV;Bevaix;5;Ouest;;0;;0;;0;;0;;0;;;;;;
BEX;Bex;4;Ouest;;0;;0;;0;;0;;0;;;;;;
BIA;Biasca;4;Sud;;0;;0;;0;;0;;0;;;;;;
BIB;Biberbrugg;4;Ost;;0;;0;;0;;0;;0;;;;;;
BIGG;Biberegg;HaV;Ost;;0;;0;;0;;0;;0;;;;;;
BIST;Biberist Ost;5;Mitte;;0;;0;;0;;0;;0;;;;;;
BIM;Biel Mett;4;Mitte;;0;;0;;0;;0;;0;;;;;;
BI;Biel/Bienne;1+;Ouest;4;1;4;1;4;1;4;1;4;1;;4;;-2069.904095;483.3526565;1
BIBD;Biel/Bienne Bözingerfeld;4;Mitte;;0;;0;;0;;0;;0;;;;;;
BIGE;Bigenthal;HaV;Mitte;;0;;0;;0;;0;;0;;;;;;
BIG;Biglen;4;Mitte;;0;;0;;0;;0;;0;;;;;;
BIL;Bilten;4;Ost;;0;;0;;0;;0;;0;;;;;;
BIR;Birmensdorf ZH;3;Ost;;0;;0;;0;;0;;0;;;;;;
BIRR;Birr;4;Mitte;;0;;0;;0;;0;;0;;;;;;
BWL;Birrwil;4;Mitte;;0;;0;;0;;0;;0;;;;;;
BZN;Bischofszell Nord;4;Ost;;0;;0;;0;;0;;0;;;;;;
BZS;Bischofszell Stadt;4;Ost;;0;;0;;0;;0;;0;;;;;;
BLU;Blumenau;4;Ost;;0;;0;;0;;0;;0;;;;;;
BO;Bodio;4;Sud;;0;;0;;0;;0;;0;;;;;;
BOLE;Bôle;5;Ouest;;0;;0;;0;;0;;0;;;;;;
BOLT;Boltigen;5;Mitte;;0;;0;;0;;0;;0;;;;;;
BCT;Boncourt;4;Ouest;;0;;0;;0;;0;;0;;;;;;
BONI;Boniswil;5;Mitte;;0;;0;;0;;0;;0;;;;;;
BON;Bonstetten-Wettswil;3;Ost;;0;;0;;0;;0;;0;;;;;;
BOSS;Bossière;5;Ouest;;0;;0;;0;;0;;0;;;;;;
BOS;Boswil-Bünzen;4;Mitte;;0;;0;;0;;0;;0;;;;;;
BOT;Bottighofen;HaV;Ost;;0;;0;;0;;0;;0;;;;;;
BDR;Boudry;5;Ouest;;0;;0;;0;;0;;0;;;;;;
BOU;Bouveret;4;Ouest;;0;;0;;0;;0;;0;;;;;;
BOW;Bowil;4;Mitte;;0;;0;;0;;0;;0;;;;;;
BRA;Brassus, Le;4;Ouest;;0;;0;;0;;0;;0;;;;;;
BK;Brenzikofen;HaV;Mitte;;0;;0;;0;;0;;0;;;;;;
BRT;Bretonnières;5;Ouest;;0;;0;;0;;0;;0;;;;;;
BR;Brig;2;Ouest;2;1;2;1;2;1;2;1;2;1;;4;;-329.3652;3328.39752;1
BRIT;Brittnau-Wikon;4;Mitte;;0;;0;;0;;0;;0;;;;;;
BRO;Bronschofen;HaV;Ost;;0;;0;;0;;0;;0;;;;;;
BROA;Bronschofen AMP;HaV;Ost;;0;;0;;0;;0;;0;;;;;;
BG;Brugg AG;3;Ost;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;;3;;;;
BGG;Brügg BE;4;Mitte;;0;;0;;0;;0;;0;;;;;;
BRN;Brunnadern-Neckertal;HaV;Ost;;0;;0;;0;;0;;0;;;;;;
BRU;Brunnen;4;Sud;;0;;0;;0;;0;;0;;3;;;;
BUB;Bubikon;3;Ost;;0;;0;;0;;0;;0;;;;;;
BURN;Buchrain;4;Mitte;;0;;0;;0;;0;;0;;;;;;
BU;Buchs SG;3;Ost;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;;4;;;;
BUD;Buchs-Dällikon;3;Ost;;0;;0;;0;;0;;0;;;;;;
BUC;Buckten;5;Mitte;;0;;0;;0;;0;;0;;;;;;
BX;Buix;5;Ouest;;0;;0;;0;;0;;0;;;;;;
BUE;Bülach;2;Ost;2;1;2;1;2;1;2;1;2;1;;4;;898.8887195;-904.009981;1
BUER;Büren an der Aare;4;Mitte;;0;;0;;0;;0;;0;;;;;;
BDF;Burgdorf;3;Mitte;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;;4;;;;
BDFB;Burgdorf Buchmatt;HaV;Mitte;;0;;0;;0;;0;;0;;;;;;
BDFS;Burgdorf Steinhof;4;Mitte;;0;;0;;0;;0;;0;;;;;;
BGH;Burghalden;4;Ost;;0;;0;;0;;0;;0;;;;;;
BH;Burgholz;HaV;Mitte;;0;;0;;0;;0;;0;;;;;;
BWA;Burgistein-Wattenwil;4;Mitte;;0;;0;;0;;0;;0;;;;;;
BGL;Bürglen;4;Ost;;0;;0;;0;;0;;0;;;;;;
BURI;Burier;4;Ouest;;0;;0;;0;;0;;0;;;;;;
BY;Bussigny;3;Ouest;;0;;0;;0;;0;;0;;;;;;
BNG;Bussnang;HaV;Ost;;0;;0;;0;;0;;0;;;;;;
BUS;Busswil;4;Mitte;;0;;0;;0;;0;;0;;;;;;
BUET;Bütschwil;4;Ost;;0;;0;;0;;0;;0;;;;;;
BTW;Bettwiesen;4;Ouest;;0;;0;;0;;0;;0;;;;;;
CD;Cadenazzo;4;Sud;;0;;0;;0;;0;;0;;;;;;
CAP;Capolago-Riva S. Vitale;4;Sud;;0;;0;;0;;0;;0;;;;;;
CABA;Carouge-Bachet;3;Ouest;;0;;0;;0;;0;;0;;;;;;
CAST;Castione-Arbedo;4;Sud;;0;;0;;0;;0;;0;;;;;;
CHAM;Cham;4;Mitte;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;;3;;;;
CHAA;Cham Alpenblick;4;Mitte;;0;;0;;0;;0;;0;;;;;;
CHY;Chambésy;4;Ouest;;0;;0;;0;;0;;0;;;;;;
CHN;Chambrelien;4;Ouest;;0;;0;;0;;0;;0;;;;;;
CHA;Chamoson;4;Ouest;;0;;0;;0;;0;;0;;;;;;
CDM;Champ-du-Moulin;5;Ouest;;0;;0;;0;;0;;0;;;;;;
CHHO;Champel-Hôpital;3;Ouest;;0;;0;;0;;0;;0;;;;;;
CHB;Charbonnières;HaV;Ouest;;0;;0;;0;;0;;0;;;;;;
CHAR;Charrat-Fully;4;Ouest;;0;;0;;0;;0;;0;;;;;;
CHF;Châteneuf-Conthey;4;Ouest;;0;;0;;0;;0;;0;;;;;;
CHAT;Châtillens;4;Ouest;;0;;0;;0;;0;;0;;;;;;
CF;Chaux-de-Fonds, La;3;Ouest;;0;;0;;0;;0;;0;;;;;;
CFO;Chaux-de-Fonds-Ouest, La;4;Ouest;;0;;0;;0;;0;;0;;;;;;
CHV;Chavornay;4;Ouest;;0;;0;;0;;0;;0;;;;;;
CHEB;Chéne-Bourg;3;Ouest;;0;;0;;0;;0;;0;;;;;;
CHE;Chénens;5;Ouest;;0;;0;;0;;0;;0;;;;;;
CHX;Chexbrs-Village;4;Ouest;;0;;0;;0;;0;;0;;;;;;
CHS;Cheyres;5;Ouest;;0;;0;;0;;0;;0;;;;;;
CLME;Che-le-Maître-Ecoles;HaV;Ouest;;0;;0;;0;;0;;0;;;;;;
CHI;Chiasso;2;Sud;2;1;2;1;2;1;2;1;2;1;;7;;2150.55564;5000;1
CH;Chur;2;Ost;2;1;2;1;2;1;2;1;2;1;;4;;3235.226062;1397.129247;1
CL;Clarens;4;Ouest;;0;;0;;0;;0;;0;;;;;;
CBY;Collombey;4;Ouest;;0;;0;;0;;0;;0;;;;;;
CMA;Colmegna;5;Sud;;0;;0;;0;;0;;0;;;;;;
CLB;Colombier;4;Ouest;;0;;0;;0;;0;;0;;;;;;
CC;Concise;5;Ouest;;0;;0;;0;;0;;0;;;;;;
DVN;Conversion, La;5;Ouest;;0;;0;;0;;0;;0;;;;;;
COP;Coppet;3;Ouest;;0;;0;;0;;0;;0;;3;;;;
CORC;Corcelles BE;HaV;Ouest;;0;;0;;0;;0;;0;;;;;;
CN;Corcelles Nord;5;Ouest;;0;;0;;0;;0;;0;;;;;;
CS;Corcelles Sud;5;Ouest;;0;;0;;0;;0;;0;;;;;;
CP;Corcelles-Peseux;4;Ouest;;0;;0;;0;;0;;0;;;;;;
COG;Corgémont;4;Ouest;;0;;0;;0;;0;;0;;;;;;
CORM;Cormoret;4;Ouest;;0;;0;;0;;0;;0;;;;;;
CORN;Cornaux;4;Ouest;;0;;0;;0;;0;;0;;;;;;
CORS;Corseaux-Cornalles;HaV;Ouest;;0;;0;;0;;0;;0;;;;;;
CO;Cortébert;4;Ouest;;0;;0;;0;;0;;0;;;;;;
COS;Cossonay;4;Ouest;;0;;0;;0;;0;;0;;;;;;
COT;Cottens;5;Ouest;;0;;0;;0;;0;;0;;;;;;
CCH;Courchavon;5;Ouest;;0;;0;;0;;0;;0;;;;;;
CFV;Courfaivre;4;Ouest;;0;;0;;0;;0;;0;;;;;;
CG;Courgenay;4;Ouest;;0;;0;;0;;0;;0;;;;;;
CT;Court;4;Ouest;;0;;0;;0;;0;;0;;;;;;
CTY;Courtelary;4;Ouest;;0;;0;;0;;0;;0;;;;;;
CTM;Cortemaîche;5;Ouest;;0;;0;;0;;0;;0;;;;;;
COUR;Courtepin;4;Ouest;;0;;0;;0;;0;;0;;;;;;
CTT;Courtételle;5;Ouest;;0;;0;;0;;0;;0;;;;;;
COUS;Cousset;5;Ouest;;0;;0;;0;;0;;0;;;;;;
CVTR;Couvet;5;Ouest;;0;;0;;0;;0;;0;;;;;;
CREM;Crémines;5;Mitte;;0;;0;;0;;0;;0;;;;;;
ZOO;Crémines-Zoo;HaV;Mitte;;0;;0;;0;;0;;0;;;;;;
CRFR;Cressier FR;4;Ouest;;0;;0;;0;;0;;0;;;;;;
CRNE;Cressier NE;4;Ouest;;0;;0;;0;;0;;0;;;;;;
CRET;Crêt-du-Locle, Le;5;Ouest;;0;;0;;0;;0;;0;;;;;;
CRGD;Creux-de-Genthod;4;Ouest;;0;;0;;0;;0;;0;;;;;;
CR;Croy-Romainmôtier;5;Ouest;;0;;0;;0;;0;;0;;;;;;
CGY;Cugy FR;5;Ouest;;0;;0;;0;;0;;0;;;;;;
CU;Cully;4;Ouest;;0;;0;;0;;0;;0;;;;;;
DA;Dachsen;4;Ost;;0;;0;;0;;0;;0;;;;;;
DAG;Dagmersellen;4;Mitte;;0;;0;;0;;0;;0;;;;;;
DK;Däniken;4;Mitte;;0;;0;;0;;0;;0;;;;;;
DR;Därstetten;5;Mitte;;0;;0;;0;;0;;0;;;;;;
DAY;Day, Le;4;Ouest;;0;;0;;0;;0;;0;;;;;;
DG;Degersheim;4;Ost;;0;;0;;0;;0;;0;;;;;;
DN;Deitingen;4;Mitte;;0;;0;;0;;0;;0;;;;;;
DMT;Delémont;3;Ouest;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;;3;;;;
DL;Delle;3;Ouest;;0;;0;;0;;0;;0;;;;;;
DEN;Denges-Echandes;4;Ouest;;0;;0;;0;;0;;0;;;;;;
DEU;Deurres, Les;5;Ouest;;0;;0;;0;;0;;0;;;;;;
DI;Dielsdorf;3;Ost;;0;;0;;0;;0;;0;;;;;;
DIE;Diepfingen;5;Mitte;;0;;0;;0;;0;;0;;;;;;
DSB;Diesbach-Betschwanden;5;Ost;;0;;0;;0;;0;;0;;;;;;
DSH;Diessenhofen;4;Ost;;0;;0;;0;;0;;0;;;;;;
DTF;Dietfurt;4;Ost;;0;;0;;0;;0;;0;;;;;;
DT;Dietikon;3;Ost;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;;4;;;;
DTL;Dietlikon;3;Ost;;0;;0;;0;;0;;0;;;;;;
DIH;Dinhard;4;Ost;;0;;0;;0;;0;;0;;;;;;
DOM;Domdidier;4;Ouest;;0;;0;;0;;0;;0;;;;;;
DOP;Dompierre;5;Ouest;;0;;0;;0;;0;;0;;;;;;
DOEP;Dornach Oepfelsee;4;Mitte;;0;;0;;0;;0;;0;;;;;;
